Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
36449535,"Columbus Day (Expeditionary Force, #1)",Craig Alanson,"Alanson, Craig",,"=""1520126247""","=""9781520126241""",0,Independently published,Paperback,299,2017,2016,,2018/11/23,to-read,to-read (#248),to-read,,,,0,0
30342581,"SpecOps (Expeditionary Force, #2)",Craig Alanson,"Alanson, Craig",,"=""""","=""""",4,,ebook,277,2016,2016,2019/01/24,2018/12/17,to-read,to-read (#247),to-read,,,,1,0
36476017,Chasing New Horizons: Inside Humankind's First Mission to Pluto,Alan Stern,"Stern, Alan",David Grinspoon,"=""1250295947""","=""9781250295941""",0,Macmillan Audio,Audiobook,,2018,2018,2019/01/24,2019/01/24,,,read,,,,1,0
96948771,Rocket Men,Robert Kurson,"Kurson, Robert",,"=""""","=""""",0,,,,,2019/03/19,2019/03/19,,,read,,,,1,0
49661162,"Randomize (Forward Collection, #6)",Andy Weir,"Weir, Andy",,"=""1542044251""","=""9781542044257""",0,Amazon Original Stories,Kindle Edition,28,2019,2019,2019/09/23,2019/09/23,,,read,,,,1,0
23443434,Horus Rising (Horus Heresy #1),Dan Abnett,"Abnett, Dan",Toby Longworth,"=""1782514600""","=""9781782514602""",0,Black Library,MP3 CD,,2014,2006,2019/12/19,2019/12/19,,,read,,,,1,0
23159395,False Gods (Horus Heresy #2),Graham McNeill,"McNeill, Graham","Toby Longworth, Jai Channa","=""1782514597""","=""9781782514596""",0,Black Library,MP3 CD,,2014,2006,2019/12/20,2019/12/20,,,read,,,,1,0
23443409,Galaxy in Flames (The Horus Heresy #3),Ben Counter,"Counter, Ben",,"=""1782518703""","=""9781782518709""",0,Black Library,Audiobook,,2014,2006,,2019/12/31,to-read,to-read (#246),to-read,,,,0,0
23525206,Fulgrim (The Horus Heresy #5),Graham McNeill,"McNeill, Graham",,"=""1782510362""","=""9781782510369""",0,The Black Library,Audiobook,,2013,2007,2020/01/26,2020/01/26,,,read,,,,1,0
219040669,The Rules of Backyard Cricket,Jock Serong,"Serong, Jock",,"=""""","=""9781925355215""",0,Text Publishing Company,Paperback,,,,,2020/02/04,to-read,to-read (#245),to-read,,,,0,0
