Book Id,Title,Author,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Exclusive Shelf,My Review,Read Count
625603,"Horus Rising (The Horus Heresy, #1)",Dan Abnett,184416294X,9781844162949,5,Black Library,Paperback,416,2006,2006,2019/12/21,2019/12/18,,read,,1
381817,"False Gods (The Horus Heresy, #2)",Graham McNeill,1844163709,9781844163700,5,Black Library,Paperback,416,2006,2006,2019/12/23,2019/12/21,,read,,1
815091,"Galaxy in Flames (The Horus Heresy, #3)",Ben Counter,1844163938,9781844163939,5,Games Workshop,Paperback,416,2006,2006,2020/01/18,2019/12/23,,read,,1
80155,"The Flight of the Eisenstein (The Horus Heresy, #4)",James Swallow,1844164594,9781844164592,5,Black Library,Paperback,416,2007,2007,2020/01/26,2019/12/23,,read,,1
957931,"Fulgrim (The Horus Heresy, #5)",Graham McNeill,1844164764,9781844164769,5,Games Workshop,Paperback,512,2007,2007,2020/02/16,2019/12/23,,read,,1
768929,"Descent of Angels (The Horus Heresy, #6)",Mitchel Scanlon,1844165086,9781844165087,5,BL Publishing,Paperback,413,2007,2007,2020/02/22,2019/12/23,,read,,1
1678745,"Legion (The Horus Heresy, #7)",Dan Abnett,1844165361,9781844165360,5,Games Workshop,Paperback,416,2008,2008,2020/03/02,2019/12/23,,read,,1
65211701,"System Collapse (The Murderbot Diaries, #7)",Martha Wells,1250826977,9781250826978,5,Tor Publishing Group/Tordotcom,Hardcover,245,2023,2023,2024/01/31,2023/07/20,,read,,1
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,1473523788,9781473523784,4,Vintage,Paperback,512,2015,2011,2024/04/20,2024/04/14,,read,,1
195443798,Alien Clay,Adrian Tchaikovsky,1035013789,9781035013784,5,Tor,Kindle Edition,396,2024,2024,2024/07/27,2024/07/12,,read,,1
210384823,Shroud,Adrian Tchaikovsky,1035013797,9781035013791,5,Tor,Hardcover,436,2025,2025,2025/04/02,2025/04/01,,read,,1
212276037,"The Devils (The Devils, #1)",Joe Abercrombie,1399603604,9781399603607,5,The Broken Binding,Hardcover,565,2025,2025,2025/05/21,2025/05/08,,read,,1
58724872,"In the Shadow of Lightning (Glass Immortals, #1)",Brian McClellan,1250755697,9781250755698,4,Tor Books,Hardcover,576,2022,2022,2025/03/07,2022/05/31,,read,,1
181031840,"Echo of Worlds (Pandominion, #2)",M.R. Carey,035651806X,9780356518060,5,Orbit,Kindle Edition,496,2024,2024,2025/02/27,2025/02/26,,read,,1
36449535,"Columbus Day (Expeditionary Force, #1)",Craig Alanson,1520126247,9781520126241,0,Independently published,Paperback,299,2017,2016,,2018/11/23,,to-read,,0
30342581,"SpecOps (Expeditionary Force, #2)",Craig Alanson,1520128320,9781520128320,4,,ebook,277,2016,2016,2019/01/24,2018/12/17,,currently-reading,,1
54493401,Project Hail Mary,Andy Weir,0593135202,9780593135204,4,Ballantine Books,Hardcover,476,2021,2021,2022/03/24,2021/12/18,,read,,1
